type,id,name,category,rarity,conditions,Adventure mode rarity
item,minecraft:cooked_chicken,Cooked Chicken,Animal,common,,uncommon
item,minecraft:cooked_mutton,Cooked Mutton,Animal,common,,uncommon
item,minecraft:cooked_porkchop,Cooked Porkchop,Animal,common,,uncommon
item,minecraft:cooked_salmon,Cooked Salmon,Animal,common,,uncommon
item,minecraft:feather,Feather,Animal,common,,common
item,minecraft:ink_sac,Ink Sac,Animal,common,,common
item,minecraft:item_frame,Item Frame,Animal,common,,common
item,minecraft:leather,Leather,Animal,common,,common
item,minecraft:leather_boots,Leather Boots,Animal,common,,uncommon
item,minecraft:leather_helmet,Leather Cap,Animal,common,,uncommon
item,minecraft:leather_leggings,Leather Pants,Animal,common,,uncommon
item,minecraft:leather_chestplate,Leather Tunic,Animal,common,,uncommon
item,minecraft:beef,Raw Beef,Animal,common,,common
item,minecraft:chicken,Raw Chicken,Animal,common,,common
item,minecraft:mutton,Raw Mutton,Animal,common,,common
item,minecraft:porkchop,Raw Porkchop,Animal,common,,common
item,minecraft:salmon,Raw Salmon,Animal,common,,common
item,minecraft:cooked_beef,Steak,Animal,common,,uncommon
item,minecraft:goat_horn,Goat Horn,Animal,epic,,rare
item,minecraft:turtle_scute,Turtle Scute,Animal,epic,,rare
item,minecraft:armadillo_scute,Armadillo Scute,Animal,rare,,epic
item,minecraft:blue_egg,Blue Egg,Animal,rare,,uncommon
item,minecraft:brown_egg,Brown Egg,Animal,rare,,uncommon
item,minecraft:egg,Egg,Animal,rare,,uncommon
item,minecraft:pufferfish,Pufferfish,Animal,rare,,rare
item,minecraft:tropical_fish,Tropical Fish,Animal,rare,,rare
item,minecraft:cooked_cod,Cooked Cod,Animal,uncommon,,uncommon
item,minecraft:glow_ink_sac,Glow Ink Sac,Animal,uncommon,,uncommon
item,minecraft:glow_item_frame,Glow Item Frame,Animal,uncommon,,uncommon
item,minecraft:leather_horse_armor,Leather Horse Armor,Animal,uncommon,,uncommon
item,minecraft:cod,Raw Cod,Animal,uncommon,,common
item,minecraft:black_bed,Black Bed,Bed,common,,uncommon
item,minecraft:blue_bed,Blue Bed,Bed,common,,uncommon
item,minecraft:gray_bed,Gray Bed,Bed,common,,uncommon
item,minecraft:light_blue_bed,Light Blue Bed,Bed,common,,uncommon
item,minecraft:light_gray_bed,Light Gray Bed,Bed,common,,uncommon
item,minecraft:magenta_bed,Magenta Bed,Bed,common,,uncommon
item,minecraft:orange_bed,Orange Bed,Bed,common,,uncommon
item,minecraft:pink_bed,Pink Bed,Bed,common,,uncommon
item,minecraft:purple_bed,Purple Bed,Bed,common,,uncommon
item,minecraft:red_bed,Red Bed,Bed,common,,uncommon
item,minecraft:white_bed,White Bed,Bed,common,,uncommon
item,minecraft:yellow_bed,Yellow Bed,Bed,common,,uncommon
item,minecraft:cyan_bed,Cyan Bed,Bed,rare,,rare
item,minecraft:green_bed,Green Bed,Bed,rare,,rare
item,minecraft:lime_bed,Lime Bed,Bed,rare,,rare
item,minecraft:brown_bed,Brown Bed,Bed,uncommon,,rare
item,minecraft:tadpole_bucket,Bucket of Tadpole,Bucket,epic,,
item,minecraft:axolotl_bucket,Bucket of Axolotl,Bucket,rare,,
item,minecraft:pufferfish_bucket,Bucket of Pufferfish,Bucket,rare,,legendary
item,minecraft:tropical_fish_bucket,Bucket of Tropical Fish,Bucket,rare,,legendary
item,minecraft:powder_snow_bucket,Powder Snow Bucket,Bucket,rare,,epic
item,minecraft:bucket,Bucket,Bucket,uncommon,,uncommon
item,minecraft:cod_bucket,Bucket of Cod,Bucket,uncommon,,rare
item,minecraft:salmon_bucket,Bucket of Salmon,Bucket,uncommon,,
item,minecraft:lava_bucket,Lava Bucket,Bucket,uncommon,,legendary
item,minecraft:milk_bucket,Milk Bucket,Bucket,uncommon,,uncommon
item,minecraft:water_bucket,Water Bucket,Bucket,uncommon,,rare
item,minecraft:green_bundle,Green Bundle,Bundle,rare,,rare
item,minecraft:lime_bundle,Lime Bundle,Bundle,rare,,rare
item,minecraft:black_bundle,Black Bundle,Bundle,uncommon,,uncommon
item,minecraft:blue_bundle,Blue Bundle,Bundle,uncommon,,common
item,minecraft:brown_bundle,Brown Bundle,Bundle,uncommon,,rare
item,minecraft:bundle,Bundle,Bundle,uncommon,,common
item,minecraft:cyan_bundle,Cyan Bundle,Bundle,uncommon,,rare
item,minecraft:gray_bundle,Gray Bundle,Bundle,uncommon,,uncommon
item,minecraft:light_blue_bundle,Light Blue Bundle,Bundle,uncommon,,common
item,minecraft:light_gray_bundle,Light Gray Bundle,Bundle,uncommon,,common
item,minecraft:magenta_bundle,Magenta Bundle,Bundle,uncommon,,uncommon
item,minecraft:orange_bundle,Orange Bundle,Bundle,uncommon,,common
item,minecraft:pink_bundle,Pink Bundle,Bundle,uncommon,,uncommon
item,minecraft:purple_bundle,Purple Bundle,Bundle,uncommon,,common
item,minecraft:red_bundle,Red Bundle,Bundle,uncommon,,common
item,minecraft:white_bundle,White Bundle,Bundle,uncommon,,common
item,minecraft:yellow_bundle,Yellow Bundle,Bundle,uncommon,,common
item,minecraft:brown_candle,Brown Candle,Candle,epic,,epic
item,minecraft:cyan_candle,Cyan Candle,Candle,epic,,epic
item,minecraft:green_candle,Green Candle,Candle,epic,,epic
item,minecraft:lime_candle,Lime Candle,Candle,epic,,epic
item,minecraft:black_candle,Black Candle,Candle,rare,,rare
item,minecraft:blue_candle,Blue Candle,Candle,rare,,rare
item,minecraft:candle,Candle,Candle,rare,,rare
item,minecraft:gray_candle,Gray Candle,Candle,rare,,rare
item,minecraft:light_blue_candle,Light Blue Candle,Candle,rare,,rare
item,minecraft:light_gray_candle,Light Gray Candle,Candle,rare,,rare
item,minecraft:magenta_candle,Magenta Candle,Candle,rare,,rare
item,minecraft:orange_candle,Orange Candle,Candle,rare,,rare
item,minecraft:pink_candle,Pink Candle,Candle,rare,,rare
item,minecraft:purple_candle,Purple Candle,Candle,rare,,rare
item,minecraft:red_candle,Red Candle,Candle,rare,,rare
item,minecraft:white_candle,White Candle,Candle,rare,,rare
item,minecraft:yellow_candle,Yellow Candle,Candle,rare,,rare
item,minecraft:brown_concrete,Brown Concrete,Concrete,rare,,epic
item,minecraft:brown_concrete_powder,Brown Concrete Powder,Concrete,rare,,
item,minecraft:cyan_concrete,Cyan Concrete,Concrete,rare,,
item,minecraft:cyan_concrete_powder,Cyan Concrete Powder,Concrete,rare,,
item,minecraft:green_concrete,Green Concrete,Concrete,rare,,
item,minecraft:green_concrete_powder,Green Concrete Powder,Concrete,rare,,
item,minecraft:lime_concrete,Lime Concrete,Concrete,rare,,
item,minecraft:lime_concrete_powder,Lime Concrete Powder,Concrete,rare,,
item,minecraft:black_concrete,Black Concrete,Concrete,uncommon,,
item,minecraft:black_concrete_powder,Black Concrete Powder,Concrete,uncommon,,
item,minecraft:blue_concrete,Blue Concrete,Concrete,uncommon,,
item,minecraft:blue_concrete_powder,Blue Concrete Powder,Concrete,uncommon,,
item,minecraft:gray_concrete,Gray Concrete,Concrete,uncommon,,
item,minecraft:gray_concrete_powder,Gray Concrete Powder,Concrete,uncommon,,
item,minecraft:light_blue_concrete,Light Blue Concrete,Concrete,uncommon,,
item,minecraft:light_blue_concrete_powder,Light Blue Concrete Powder,Concrete,uncommon,,
item,minecraft:light_gray_concrete,Light Gray Concrete,Concrete,uncommon,,
item,minecraft:light_gray_concrete_powder,Light Gray Concrete Powder,Concrete,uncommon,,
item,minecraft:magenta_concrete,Magenta Concrete,Concrete,uncommon,,
item,minecraft:magenta_concrete_powder,Magenta Concrete Powder,Concrete,uncommon,,
item,minecraft:orange_concrete,Orange Concrete,Concrete,uncommon,,
item,minecraft:orange_concrete_powder,Orange Concrete Powder,Concrete,uncommon,,
item,minecraft:pink_concrete,Pink Concrete,Concrete,uncommon,,
item,minecraft:pink_concrete_powder,Pink Concrete Powder,Concrete,uncommon,,
item,minecraft:purple_concrete,Purple Concrete,Concrete,uncommon,,
item,minecraft:purple_concrete_powder,Purple Concrete Powder,Concrete,uncommon,,
item,minecraft:red_concrete,Red Concrete,Concrete,uncommon,,epic
item,minecraft:red_concrete_powder,Red Concrete Powder,Concrete,uncommon,,
item,minecraft:white_concrete,White Concrete,Concrete,uncommon,,epic
item,minecraft:white_concrete_powder,White Concrete Powder,Concrete,uncommon,,
item,minecraft:yellow_concrete,Yellow Concrete,Concrete,uncommon,,
item,minecraft:yellow_concrete_powder,Yellow Concrete Powder,Concrete,uncommon,,
item,minecraft:copper_nugget,Copper Nugget,Copper,common,,uncommon
item,minecraft:copper_torch,Copper Torch,Copper,common,,uncommon
item,minecraft:copper_bulb,Copper Bulb,Copper,epic,,epic
item,minecraft:exposed_copper_bulb,Exposed Copper Bulb,Copper,epic,,epic
item,minecraft:oxidized_chiseled_copper,Oxidized Chiseled Copper,Copper,epic,,mythic
item,minecraft:oxidized_copper_bars,Oxidized Copper Bars,Copper,epic,,
item,minecraft:oxidized_copper_chain,Oxidized Copper Chain,Copper,epic,,
item,minecraft:oxidized_copper_chest,Oxidized Copper Chest,Copper,epic,,mythic
item,minecraft:oxidized_copper_door,Oxidized Copper Door,Copper,epic,,mythic
item,minecraft:oxidized_copper_grate,Oxidized Copper Grate,Copper,epic,,mythic
item,minecraft:oxidized_copper_lantern,Oxidized Copper Lantern,Copper,epic,,
item,minecraft:oxidized_copper_trapdoor,Oxidized Copper Trapdoor,Copper,epic,,mythic
item,minecraft:waxed_copper_bulb,Waxed Copper Bulb,Copper,epic,,epic
item,minecraft:waxed_exposed_chiseled_copper,Waxed Exposed Chiseled Copper,Copper,epic,,epic
item,minecraft:waxed_exposed_copper,Waxed Exposed Copper,Copper,epic,,epic
item,minecraft:waxed_exposed_copper_bars,Waxed Exposed Copper Bars,Copper,epic,,
item,minecraft:waxed_exposed_copper_chain,Waxed Exposed Copper Chain,Copper,epic,,
item,minecraft:waxed_exposed_copper_chest,Waxed Exposed Copper Chest,Copper,epic,,mythic
item,minecraft:waxed_exposed_copper_door,Waxed Exposed Copper Door,Copper,epic,,epic
item,minecraft:waxed_exposed_copper_grate,Waxed Exposed Copper Grate,Copper,epic,,epic
item,minecraft:waxed_exposed_copper_lantern,Waxed Exposed Copper Lantern,Copper,epic,,
item,minecraft:waxed_exposed_copper_trapdoor,Waxed Exposed Copper Trapdoor,Copper,epic,,epic
item,minecraft:waxed_exposed_cut_copper,Waxed Exposed Cut Copper,Copper,epic,,epic
item,minecraft:waxed_exposed_cut_copper_slab,Waxed Exposed Cut Copper Slab,Copper,epic,,epic
item,minecraft:waxed_exposed_cut_copper_stairs,Waxed Exposed Cut Copper Stairs,Copper,epic,,epic
item,minecraft:waxed_exposed_lightning_rod,Waxed Exposed Lightning Rod,Copper,epic,,epic
item,minecraft:waxed_weathered_chiseled_copper,Waxed Weathered Chiseled Copper,Copper,epic,,legendary
item,minecraft:waxed_weathered_copper_bars,Waxed Weathered Copper Bars,Copper,epic,,
item,minecraft:waxed_weathered_copper_chain,Waxed Weathered Copper Chain,Copper,epic,,
item,minecraft:waxed_weathered_copper_chest,Waxed Weathered Copper Chest,Copper,epic,,mythic
item,minecraft:waxed_weathered_copper_door,Waxed Weathered Copper Door,Copper,epic,,legendary
item,minecraft:waxed_weathered_copper_grate,Waxed Weathered Copper Grate,Copper,epic,,legendary
item,minecraft:waxed_weathered_copper_lantern,Waxed Weathered Copper Lantern,Copper,epic,,
item,minecraft:waxed_weathered_copper_trapdoor,Waxed Weathered Copper Trapdoor,Copper,epic,,legendary
item,minecraft:waxed_weathered_lightning_rod,Waxed Weathered Lightning Rod,Copper,epic,,legendary
item,minecraft:weathered_chiseled_copper,Weathered Chiseled Copper,Copper,epic,,legendary
item,minecraft:weathered_copper,Weathered Copper,Copper,epic,,legendary
item,minecraft:weathered_copper_bars,Weathered Copper Bars,Copper,epic,,
item,minecraft:weathered_copper_chain,Weathered Copper Chain,Copper,epic,,
item,minecraft:weathered_copper_chest,Weathered Copper Chest,Copper,epic,,mythic
item,minecraft:weathered_copper_door,Weathered Copper Door,Copper,epic,,legendary
item,minecraft:weathered_copper_grate,Weathered Copper Grate,Copper,epic,,legendary
item,minecraft:weathered_copper_lantern,Weathered Copper Lantern,Copper,epic,,
item,minecraft:weathered_copper_trapdoor,Weathered Copper Trapdoor,Copper,epic,,legendary
item,minecraft:weathered_cut_copper,Weathered Cut Copper,Copper,epic,,legendary
item,minecraft:weathered_cut_copper_slab,Weathered Cut Copper Slab,Copper,epic,,legendary
item,minecraft:weathered_cut_copper_stairs,Weathered Cut Copper Stairs,Copper,epic,,legendary
item,minecraft:weathered_lightning_rod,Weathered Lightning Rod,Copper,epic,,legendary
item,minecraft:copper_golem_statue,Copper Golem Statue,Copper,legendary,,mythic
item,minecraft:exposed_copper_golem_statue,Exposed Copper Golem Statue,Copper,legendary,,mythic
item,minecraft:oxidized_copper,Oxidized Copper,Copper,legendary,,mythic
item,minecraft:oxidized_copper_bulb,Oxidized Copper Bulb,Copper,legendary,,mythic
item,minecraft:oxidized_copper_golem_statue,Oxidized Copper Golem Statue,Copper,legendary,,mythic
item,minecraft:oxidized_cut_copper,Oxidized Cut Copper,Copper,legendary,,mythic
item,minecraft:oxidized_cut_copper_slab,Oxidized Cut Copper Slab,Copper,legendary,,mythic
item,minecraft:oxidized_cut_copper_stairs,Oxidized Cut Copper Stairs,Copper,legendary,,mythic
item,minecraft:oxidized_lightning_rod,Oxidized Lightning Rod,Copper,legendary,,mythic
item,minecraft:waxed_copper_golem_statue,Waxed Copper Golem Statue,Copper,legendary,,mythic
item,minecraft:waxed_exposed_copper_bulb,Waxed Exposed Copper Bulb,Copper,legendary,,epic
item,minecraft:waxed_exposed_copper_golem_statue,Waxed Exposed Copper Golem Statue,Copper,legendary,,mythic
item,minecraft:waxed_oxidized_chiseled_copper,Waxed Oxidized Chiseled Copper,Copper,legendary,,mythic
item,minecraft:waxed_oxidized_copper_bars,Waxed Oxidized Copper Bars,Copper,legendary,,
item,minecraft:waxed_oxidized_copper_chain,Waxed Oxidized Copper Chain,Copper,legendary,,
item,minecraft:waxed_oxidized_copper_chest,Waxed Oxidized Copper Chest,Copper,legendary,,mythic
item,minecraft:waxed_oxidized_copper_door,Waxed Oxidized Copper Door,Copper,legendary,,mythic
item,minecraft:waxed_oxidized_copper_grate,Waxed Oxidized Copper Grate,Copper,legendary,,mythic
item,minecraft:waxed_oxidized_copper_lantern,Waxed Oxidized Copper Lantern,Copper,legendary,,
item,minecraft:waxed_oxidized_copper_trapdoor,Waxed Oxidized Copper Trapdoor,Copper,legendary,,mythic
item,minecraft:waxed_oxidized_lightning_rod,Waxed Oxidized Lightning Rod,Copper,legendary,,mythic
item,minecraft:waxed_weathered_copper,Waxed Weathered Copper,Copper,legendary,,legendary
item,minecraft:waxed_weathered_copper_bulb,Waxed Weathered Copper Bulb,Copper,legendary,,legendary
item,minecraft:waxed_weathered_cut_copper,Waxed Weathered Cut Copper,Copper,legendary,,legendary
item,minecraft:waxed_weathered_cut_copper_slab,Waxed Weathered Cut Copper Slab,Copper,legendary,,legendary
item,minecraft:waxed_weathered_cut_copper_stairs,Waxed Weathered Cut Copper Stairs,Copper,legendary,,legendary
item,minecraft:weathered_copper_bulb,Weathered Copper Bulb,Copper,legendary,,legendary
item,minecraft:weathered_copper_golem_statue,Weathered Copper Golem Statue,Copper,legendary,,mythic
item,minecraft:waxed_oxidized_copper,Waxed Oxidized Copper,Copper,mythic,,mythic
item,minecraft:waxed_oxidized_copper_bulb,Waxed Oxidized Copper Bulb,Copper,mythic,,mythic
item,minecraft:waxed_oxidized_copper_golem_statue,Waxed Oxidized Copper Golem Statue,Copper,mythic,,mythic
item,minecraft:waxed_oxidized_cut_copper,Waxed Oxidized Cut Copper,Copper,mythic,,mythic
item,minecraft:waxed_oxidized_cut_copper_slab,Waxed Oxidized Cut Copper Slab,Copper,mythic,,mythic
item,minecraft:waxed_oxidized_cut_copper_stairs,Waxed Oxidized Cut Copper Stairs,Copper,mythic,,mythic
item,minecraft:waxed_weathered_copper_golem_statue,Waxed Weathered Copper Golem Statue,Copper,mythic,,mythic
item,minecraft:exposed_copper,Exposed Copper,Copper,rare,,epic
item,minecraft:exposed_copper_bars,Exposed Copper Bars,Copper,rare,,
item,minecraft:exposed_copper_chain,Exposed Copper Chain,Copper,rare,,
item,minecraft:exposed_copper_chest,Exposed Copper Chest,Copper,rare,,mythic
item,minecraft:exposed_copper_door,Exposed Copper Door,Copper,rare,,epic
item,minecraft:exposed_copper_grate,Exposed Copper Grate,Copper,rare,,epic
item,minecraft:exposed_copper_lantern,Exposed Copper Lantern,Copper,rare,,
item,minecraft:exposed_copper_trapdoor,Exposed Copper Trapdoor,Copper,rare,,epic
item,minecraft:exposed_cut_copper,Exposed Cut Copper,Copper,rare,,epic
item,minecraft:exposed_cut_copper_slab,Exposed Cut Copper Slab,Copper,rare,,epic
item,minecraft:exposed_cut_copper_stairs,Exposed Cut Copper Stairs,Copper,rare,,epic
item,minecraft:exposed_lightning_rod,Exposed Lightning Rod,Copper,rare,,epic
item,minecraft:waxed_copper_block,Waxed Block of Copper,Copper,rare,,rare
item,minecraft:waxed_chiseled_copper,Waxed Chiseled Copper,Copper,rare,,rare
item,minecraft:waxed_copper_bars,Waxed Copper Bars,Copper,rare,,rare
item,minecraft:waxed_copper_chain,Waxed Copper Chain,Copper,rare,,rare
item,minecraft:waxed_copper_chest,Waxed Copper Chest,Copper,rare,,rare
item,minecraft:waxed_copper_door,Waxed Copper Door,Copper,rare,,rare
item,minecraft:waxed_copper_grate,Waxed Copper Grate,Copper,rare,,rare
item,minecraft:waxed_copper_lantern,Waxed Copper Lantern,Copper,rare,,rare
item,minecraft:waxed_copper_trapdoor,Waxed Copper Trapdoor,Copper,rare,,rare
item,minecraft:waxed_cut_copper,Waxed Cut Copper,Copper,rare,,rare
item,minecraft:waxed_cut_copper_slab,Waxed Cut Copper Slab,Copper,rare,,rare
item,minecraft:waxed_cut_copper_stairs,Waxed Cut Copper Stairs,Copper,rare,,rare
item,minecraft:chiseled_copper,Chiseled Copper,Copper,uncommon,,rare
item,minecraft:copper_bars,Copper Bars,Copper,uncommon,,uncommon
item,minecraft:copper_boots,Copper Boots,Copper,uncommon,,uncommon
item,minecraft:copper_chain,Copper Chain,Copper,uncommon,,uncommon
item,minecraft:copper_chest,Copper Chest,Copper,uncommon,,uncommon
item,minecraft:copper_chestplate,Copper Chestplate,Copper,uncommon,,uncommon
item,minecraft:copper_door,Copper Door,Copper,uncommon,,rare
item,minecraft:copper_grate,Copper Grate,Copper,uncommon,,rare
item,minecraft:copper_helmet,Copper Helmet,Copper,uncommon,,uncommon
item,minecraft:copper_lantern,Copper Lantern,Copper,uncommon,,uncommon
item,minecraft:copper_leggings,Copper Leggings,Copper,uncommon,,uncommon
item,minecraft:copper_trapdoor,Copper Trapdoor,Copper,uncommon,,rare
item,minecraft:cut_copper,Cut Copper,Copper,uncommon,,rare
item,minecraft:cut_copper_slab,Cut Copper Slab,Copper,uncommon,,rare
item,minecraft:cut_copper_stairs,Cut Copper Stairs,Copper,uncommon,,rare
item,minecraft:exposed_chiseled_copper,Exposed Chiseled Copper,Copper,uncommon,,epic
item,minecraft:lightning_rod,Lightning Rod,Copper,uncommon,,uncommon
item,minecraft:brain_coral,Brain Coral,Coral,epic,,
item,minecraft:brain_coral_block,Brain Coral Block,Coral,epic,,mythic
item,minecraft:brain_coral_fan,Brain Coral Fan,Coral,epic,,
item,minecraft:bubble_coral,Bubble Coral,Coral,epic,,
item,minecraft:bubble_coral_block,Bubble Coral Block,Coral,epic,,mythic
item,minecraft:bubble_coral_fan,Bubble Coral Fan,Coral,epic,,
item,minecraft:dead_brain_coral,Dead Brain Coral,Coral,epic,,
item,minecraft:dead_brain_coral_block,Dead Brain Coral Block,Coral,epic,,
item,minecraft:dead_brain_coral_fan,Dead Brain Coral Fan,Coral,epic,,
item,minecraft:dead_bubble_coral,Dead Bubble Coral,Coral,epic,,
item,minecraft:dead_bubble_coral_block,Dead Bubble Coral Block,Coral,epic,,
item,minecraft:dead_bubble_coral_fan,Dead Bubble Coral Fan,Coral,epic,,
item,minecraft:dead_fire_coral,Dead Fire Coral,Coral,epic,,
item,minecraft:dead_fire_coral_block,Dead Fire Coral Block,Coral,epic,,
